plyrId,first,middle,last,nick,shortName
193955,Nicolás,Martín,Domínguez,,Nicolás Domínguez
185745,Lucas,Gastón,Robertone,,Lucas Robertone
118231,Pablo,Ignacio,Galdames Millán,,Pablo Galdames
215475,Thiago,Ezequiel,Almada,,Thiago Almada
70938,Jonathan,,Menéndez,,Jonathan Menéndez
71946,Franco,Rodrigo,Fragapane,,Franco Fragapane
117606,Junior,Gabriel,Arias Cáceres,Junior Arias,Junior Arias
193908,Tomás,Ezequiel,Guidara,,Tomás Guidara
60730,Gastón,Claudio,Giménez,,Gastón Giménez
515,Javier,Marcelo,Gandolfi,,Javier Gandolfi
86457,Guido,Gabriel,Herrera,,Guido Herrera
27987,Lucas,Adrián,Hoyos,,Lucas Hoyos
219117,Álvaro,Martín,Barreal,,Álvaro Barreal
147410,Maximiliano,Samuel,Romero,,Maximiliano Romero
219623,Federico,Darío,Navarro,,Federico Navarro
317,Mauricio,Ariel,Caranta,,Mauricio Caranta
217183,Renzo,,Paparelli Coldorf,,Renzo Paparelli
221296,Brian,Lautaro,Guzmán,,Lautaro Guzmán
219900,Mauro,Abrahan,Valiente,,Mauro Valiente
2485,Alexander,Jesús,Medina,,Alexander Medina
19132,Alexander,,Domínguez Carabalí,,Alexander Domínguez
208462,Hernán,,De La Fuente,,Hernán De La Fuente
208534,Francisco,Gabriel,Ortega,,Francisco Ortega
223096,Luca,Nicolás,Orellano,,Luca Orellano
3527,Gabriel,Iván,Heinze,,Gabriel Heinze
95256,Luis,Marcelo,Herrera,,Marcelo Herrera
69595,Marcelo,Nicolás,Benítez,,Marcelo Benítez
86873,Alexis,,Castro,,Alexis Castro
57549,Nicolás,,Domingo,,Nicolás Domingo
79877,Martín,Nicolás,Benítez,,Martín Benítez
80281,Cecilio,Andrés,Domínguez Ruiz,,Cecilio Domínguez
147861,Luis,Ezequiel,Unsain,,Ezequiel Unsain
176520,Juan,Gabriel,Rodríguez,,Juan Gabriel Rodríguez
106093,Gonzalo,Ruben,Piovi,,Gonzalo Piovi
60018,Rafael,Marcelo,Delgado,,Rafael Delgado
83067,Lucas,Ariel,Villarruel,,Lucas Villarruel
105543,Jorge,Nicolás,Figal,Nicolás Figal,Nicolás Figal
193185,Alan,Javier,Franco,,Alan Franco
79278,Gabriel,Gastón Alexis,Silva Perdomo,Gastón Silva,Gastón Silva
55208,Juan,Manuel,Sánchez Miño,,Juan Manuel Sánchez Miño
48268,Pablo,Javier,Pérez,,Pablo Pérez
87369,Sebastián,Alberto,Palacios,,Sebastián Palacios
172568,Domingo,Felipe,Blanco,,Domingo Blanco
24544,Julio,César,González Trinidad,,Julio César González
172566,Bautista,,Merlini,,Bautista Merlini
16285,Fernando,Andrés,Márquez,,Fernando Márquez
114108,Nicolás,Emanuel,Fernández,,Nicolás Fernández
30969,Francisco,Andrés,Silva Gajardo,Francisco Silva,Francisco Silva
99051,Nicolás,Andrés,Maná,,Nicolás Maná
100773,Fabricio,,Bustos Sein,,Fabricio Bustos
30266,Cristian,Gabriel,Chávez,,Cristian Chávez
34493,Martín,Nicolás,Campaña Delgado,Martí­n Campaña,Martín Campaña
66621,Nicolás,Gastón,Avellaneda,,Nicolás Avellaneda
100763,Nicolás,Martín,Tripichio,,Nicolás Tripichio
148045,Héctor,David,Martínez,,David Martínez
195401,Braian,Oscar,Ojeda Rodríguez,,Braian Ojeda
215602,Enzo,Gabriel,Coacci,,Enzo Coacci
147067,Mariano,Andrés,Soso,,Mariano Soso
119230,Milton,David,Álvarez,,Milton Álvarez
229426,Lucas,Nahuel,Gonzalez Martinez,,Lucas González
225148,Alan,Agustín,Velasco,,Alan Velasco
8904,Silvio,Ezequiel,Romero,,Silvio Romero
172399,Sebastián,,Beccacece,,Sebastián Beccacece
179703,Sebastián,,Villa Cano,,Sebastián Villa
170137,Agustín,Ezequiel,Almendra,,Agustín Almendra
126655,Emanuel,,Reynoso,,Emanuel Reynoso
209302,Walter,Gabriel,Pérez,,Walter Pérez
65598,Lorenzo,Abel,Faravelli,,Lorenzo Faravelli
182838,Balekian,Norberto Alejandro,Briasco,,Norberto Briasco
46115,Esteban,Maximiliano,Andrada,,Esteban Andrada
16183,Julio,Alberto,Buffarini,,Julio Buffarini
61653,Paolo,Duval,Goltz,,Paolo Goltz
96294,Júnior,Osmar Ignacio,Alonso Mujica,,Junior Alonso
59793,Frank,Yusty,Fabra Palacios,,Frank Fabra
184677,Jorman,David,Campuzano Puentes,,Jorman Campuzano
36815,Antony,Domingo,Silva Cano,,Antony Silva
80233,Gonzalo,,Bettini,,Gonzalo Bettini
133281,Saúl,Savín,Salcedo Zárate,,Saúl Salcedo
128296,Lucas,Mariano,Bareiro,,Mariano Bareiro
479,Carlos,Luciano,Araujo,,Carlos Araujo
17276,Adrián,Daniel,Calello,,Adrián Calello
172872,Martín,Exequiel,Ojeda,,Martín Ojeda
186210,Federico,Ezequiel,Marín,,Federico Marín
60771,Juan,Fernando,Garro Gallerani,,Juan Fernando Garro
72225,Andrés,Eliseo,Chávez,,Andrés Chávez
144,Carlos,Alberto,Martínez Tévez,,Carlos Tévez
618,Mauro,Matías,Zárate,,Mauro Zárate
86727,Rodrigo,Manuel,Gómez,,Rodrigo Gómez
37930,Eduardo,Antonio,Salvio,Eduardo Salvio,Eduardo Salvio
184545,Jan,Carlos,Hurtado Anchico,,Jan Carlos Hurtado
37104,Ramón,Darío,Ábila,,Ramón Ábila
8893,Marcos,Guillermo,Díaz,,Marcos Díaz
34544,Emmanuel,David,Mas Sgros,,Emmanuel Mas
224005,Nicolás,,Capaldo Taboas,,Nicolás Capaldo
195181,Javier,Agustín,Obando,,Agustín Obando
443,Gustavo,Julio,Alfaro,,Gustavo Alfaro
8379,Fernando,Diego,Pellegrino,,Fernando Pellegrino
174154,Lucas,Gabriel,Merolla,,Lucas Merolla
100091,Javier,Osvaldo,Mendoza,,Javier Mendoza
57003,Fernando,,Coniglio,,Fernando Coniglio
47815,Juan,Pablo,Vojvoda,,Juan Pablo Vojvoda
87242,Jesús,Miguel,Soraire,,Jesús Soraire
126700,Nicolás,Ezequiel,Giménez,,Nicolás Giménez
202437,Facundo,,Pons,,Facundo Pons
40001,Sergio,Javier,Vittor,,Sergio Vittor
172675,Luciano,Luis Romilio,Gómez,,Luciano Gómez
191590,Matías,Hernán,Moya,,Matías Moya
47520,Maximiliano,,Gagliardo,,Maximiliano Gagliardo
73247,Fernando,,Torrent Guidi,,Fernando Torrent
101129,Fabio,Jesús Alberto,Pereyra,,Fabio Pereyra
52867,Franco,,Sbuttoni,,Franco Sbuttoni
565,Emiliano,Ramiro,Papa,,Emiliano Papa
58040,Emiliano,Jorge,Méndez,,Emiliano Méndez
196824,Lautaro,,Parisi,,Lautaro Parisi
2211,Néstor,Esteban,Conde Quintana,,Esteban Conde
24885,Mauricio,Luciano,Lollo,,Luciano Lollo
23123,Renato,,Civelli,,Renato Civelli
172673,Claudio,Nicolás,Bravo,,Claudio Bravo
78030,Gastón,,Álvarez Suárez,,Gastón Álvarez Suárez
205470,Martín,Ismael,Payero,,Martín Payero
198924,Juan,Pablo,Álvarez,,Juan Pablo Álvarez
168161,Lucas,Ezequiel,Piovi,,Ezequiel Piovi
63200,Ezequiel,,Rescaldani,,Ezequiel Rescaldani
629,Jonás,Manuel,Gutiérrez,,Jonás Gutiérrez
126562,Cristian,Agustín,Fontana,,Agustín Fontana
126560,Jorge,,Rodríguez,,Jorge Rodríguez
32236,Nicolás,Santiago,Bertolo,,Nicolás Bertolo
34106,Ezequiel,Adrián,Cérica,,Ezequiel Cérica
193905,Julián,Simón,Carranza,Julián Carranza,Julián Carranza
172761,Claudio,Daniel,Sappa,,Daniel Sappa
205468,Mateo,,Carabajal,,Mateo Carabajal
209845,Alejo,,Antilef,,Alejo Antilef
105203,Juan,Cruz,Kaprof,,Juan Cruz Kaprof
86895,Sergio,Gabriel,Rondina,,Sergio Rondina
100724,Iván,Mauricio,Arboleda,Iván Arboleda,Iván Arboleda
8476,Sebastián,,Dubarbier Bruscchini,,Sebastián Dubarbier
3099,Israel,Alejandro,Damonte,,Israel Damonte
99560,Reinaldo,,Lenis Montes,,Reinaldo Lenis
1670,Hernán,Jorge,Crespo,,Hernán Crespo
36117,Fabián,Andrés,Rinaudo,,Fabián Rinaudo
30147,Luciano,Fabián,Monzón,,Fabián  Monzón
46841,Cristian,Damián,Erbes,,Cristian Erbes
30724,José,Luis,Fernández,,José Luis Fernández
68341,Diego,Martín,Zabala Morales,,Diego Zabala
179441,Maximiliano,Alberto,Lovera,,Maximiliano Lovera
51213,Claudio,Maximiliano,Riaño,,Claudio Riaño
474,Cristian,David,Lucchetti,,Cristian Lucchetti
16599,Bruno,Félix,Bianchi,,Bruno Bianchi
60713,Dylan,,Gissi,,Dylan Gissi
193859,Gabriel,Adolfo,Risso Patrón,,Gabriel Risso Patrón
105326,Ramiro,Angel,Carrera,,Ramiro Carrera
8995,Javier,Fabián,Toledo,,Javier Toledo
103919,Jeremías,Conan,Ledesma,,Jeremías Ledesma
172711,Nahuel,,Molina Lucero,,Nahuel Molina Lucero
8951,Matías,Nicolás,Caruzzo,,Matías Caruzzo
147938,Miguel,Ángel,Barbieri,,Miguel Ángel Barbieri
97738,Emanuel,Fermín,Brítez,,Emanuel Brítez
43831,Ciro,Pablo,Rius Aragallo,,Ciro Rius
49610,Leonardo,Roque Albano,Gil,,Leonardo Gil
26050,Ariel,Mauricio,Rojas,,Ariel Rojas
55502,Leandro,Nicolás,Díaz,,Leandro Díaz
111092,Joaquín,Nicolás,Pereyra,,Joaquín Pereyra
20195,Sebastián,César,Ribas,Sebastián Ribas,Sebastián Ribas
87415,Marcelo,Damian,Ortiz,,Marcelo Ortiz
39742,Guillermo,Gastón,Acosta,,Guillermo Acosta
85121,Lucas,Santiago,Melano,,Lucas Melano
24363,Alfonso,Cristian,Parot Rojas,,Alfonso Parot
16332,Alejandro,Miguel,Sánchez,,Alejandro Sánchez
193561,Tomás,Esteban,Cuello,,Tomás Cuello
121814,Leonardo,Matías,Heredia,,Leonardo Heredia
209382,Augusto,Diego,Lotti,,Augusto Lotti
40218,Ricardo,Alberto,Zielinski,,Ricardo Zielinski
23047,Josué,Daniel,Ayala,,Josué Ayala
4608,Diego,Martín,Novaretti,,Diego Novaretti
67,Néstor,Ezequiel,Ortigoza,,Néstor Ortigoza
